StationCode,SampleDate,SampleTime
NZS42,11/16/2021,12:35
NZ032,11/16/2021,13:15
STTD,11/16/2021,9:48
LIS,11/16/2021,12:58
STTD,11/17/2021,10:25
D41A,11/17/2021,10:55
D41,11/17/2021,12:30
NZ325,11/17/2021,13:25
NZ002,11/17/2021,13:45
NZ004,11/17/2021,14:15
SHR,11/29/2021,9:19
STTD,11/30/2021,9:30
LIS,11/30/2021,12:35
C3A,12/8/2021,8:45
C9,12/8/2021,10:30
C10A,12/8/2021,12:00
D12,12/9/2021,9:30
D16,12/9/2021,11:25
D19,12/9/2021,12:45
D28A,12/9/2021,13:25
D26,12/10/2021,10:00
MD10A,12/10/2021,11:30
P8,12/10/2021,12:55
D4,12/13/2021,11:50
D22,12/13/2021,12:40
NZ068,12/13/2021,13:55
SHR,12/13/2021,9:21
D6,12/14/2021,11:30
D8,12/14/2021,12:20
D10,12/14/2021,13:00
STTD,12/14/2021,10:25
LIS,12/14/2021,15:26
D7,12/15/2021,11:05
NZS42,12/15/2021,12:00
NZ032,12/15/2021,13:15
D41A,12/16/2021,9:35
D41,12/16/2021,11:00
NZ325,12/16/2021,11:50
NZ002,12/16/2021,12:10
NZ004,12/16/2021,12:30
SHR,12/27/2021,10:18
STTD,12/28/2021,10:48
LIS,12/28/2021,14:47
