DWR_Site,EMP_Site,Lat,Lon,RepCont,Collection_Date,Collection_Month,Collection_ID,Survey_Year,field.PST,field.Water.temp,field.DO.mgL,field.DO.perc,field.Secchi,field.SC.uScm,field.Salinity,field.NTU,field.pH,field.Chla,field.Fluor,bryte.NH4.mgL,bryte.NO3.mgL,bryte.Chloride.mgL,bryte.Calcium.mgL,bryte.DOC.mgL,bryte.TOC.mgL,bryte.DON.mgL,bryte.total.kjeldahl.n.mgL,bryte.SRP.mgL,bryte.TP.mgL,bryte.SiO2.mgL,bryte.VSS.mgL,bryte.TDS.mgL,bryte.TSS.mgL,bryte.amb.Chla.ugL,bryte.amb.Pheo.ugL,bryte.towNet.Chla.ave.ugL,bryte.towNet.Chla.corrected,bryte.towNet.Pheo.uncorrected,bryte.towNet.Pheo.corrected,dwr.MIC_totbvL,ucd.qpcr.total.MIC,ucd.qpcr.toxin.MIC,ucd.qpcr.DOLICO,ucd.qpcr.APHA,ucd.qpcr.total.CYA,ucd.ppia.MC.total.ugL,ucd.elisa.STX.dissolved.ugL,ucd.elisa.ANA-a.dissolved.ugL
CV,D4,38.0602,-121.824,0,2014-10-27,10,8,2014,921,18.44,8.4,92.5,,9896,5.55,6.8,7.62,2.4,,0.05,0.45,2934,,2.1,2.3,0.3,,0.1,0.12,14,3,5832,14,,,717.7,0.212440927,92.7,0.02596,1.16E+09,5740,1440,0,2460,101879,0,0,0
FieldCont,,,,1,,10,8,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,5,20,0,0,0
FT,D19,38.0468,-121.6192,0,2014-10-27,10,8,2014,1335,18.94,8.99,97,,1050,0.5,0.4,7.77,2,,0.04,0.34,226,,2.5,2.5,0.2,,0.09,0.1,16.3,1,582,2,,,3374.88,0.674644096,93.98,0.02405,5.11E+08,65300,11073,60,28500,320659,0,0,0
JP,,38.0517,-121.6953,0,2014-10-27,10,8,2014,926,18.92,8.54,92.6,,2258,1.13,4.8,7.49,1.9,,0.04,0.38,544,,2.5,2.4,0.2,,0.09,0.1,16.5,2,1270,8,,,2232.12,0.745714923,100.39,0.03605,5.98E+08,31400,11712,0,14100,157027,0.29,0,0
MI,,37.9952,-121.5222,0,2014-10-27,10,8,2014,1217,18.85,8.47,91.1,,578,0.26,-0.5,7.74,3.2,,0.02,0.21,105,,3.3,3.4,0.3,,0.09,0.1,16.2,0,318,1,,,1014.6,0.452527364,32.04,0.01241,4.88E+08,22000,9264,0,44400,347741,0,0,0
OR,D28A,37.9706,-121.5725,0,2014-10-27,10,8,2014,1306,18.91,8.33,90,,813,0.38,1.3,7.64,2.3,,0,0.08,165,,3.2,3.4,0.2,,0.08,0.09,13.6,0,452,1,,,950.52,0.235420595,40.05,0.01271,1.50E+08,17600,1920,632,30200,163594,0.3,0,0
RR,P8,37.9633,-121.3663,0,2014-10-27,10,8,2014,1332,19.97,7.3,80.5,,1366,0.66,6.1,7.45,2.9,,0.14,2.93,280,,4.1,4.2,0.6,,0.42,1.9,16.4,2,760,10,,,123.76,0.059591297,15.64,0.00685,8.17E+06,6100,95,0,2320,181037,0,0,0
RRrep,,37.9633,-121.3663,1,2014-10-27,10,8,2014,1347,19.97,7.3,80.5,,1366,0.66,6.1,7.45,2.9,,0.14,2.92,280,,4,4,0.5,,0.48,1.9,16.5,2,759,10,,,121.75,0.077765825,13.56,,1.02E+08,4620,192,0,3670,123701,0.29,0,0
SJ,,38.0347,-121.4834,0,2014-10-27,10,8,2014,1246,19.02,7.33,79.2,,624,0.29,1.3,7.49,2.7,,0.03,0.46,112,,4.1,4.1,0.3,,0.11,0.12,15.6,1,346,2,,,982.56,0.371959245,93.98,0.03567,6.28E+08,27600,373,3,13800,159515,0,0,0
VC,,37.872,-121.5277,0,2014-10-27,10,8,2014,1223,18.63,8.94,96.2,,602,0.28,-0.1,7.66,3.5,,0.02,0.09,107,,3.6,3.6,0.2,,0.09,0.1,15,1,332,2,,,267,0.075487627,12.6,0.00367,1.80E+07,2270,485,0,3190,81214,0,0,0
AT,D12,38.0232,-121.8071,0,2014-11-10,11,9,2014,907,17.39,8.26,88.2,,6882,3.75,8.7,7.53,1.8,,0.05,0.45,1864,,1.9,2,0.3,,0.09,0.1,18,3,3796,14,,,519.05,0.143587109,38.66,0.01035,1.57E+08,19200,4024,0,13300,102926,0,0,0
BI,,38.1159,-121.6845,0,2014-11-10,11,9,2014,934,17.01,8.26,85.9,,1503,0.73,20,7.49,3.3,,0.09,0.5,369,,2,2.2,0.1,,0.08,0.1,18.6,3,833,13,,,1094.7,0.282989759,49.13,0.01605,7.00E+08,7420,2139,973,10700,71675,0,0,0
CV,D4,38.0602,-121.824,0,2014-11-10,11,9,2014,941,17.25,8.18,87.3,,7788,4.29,15.2,7.59,2,,0.05,0.46,2259,,1.9,2,0.2,,0.1,0.11,16.7,4,4348,17,,,531.01,0.175618078,59.44,0.01943,1.52E+08,3720,2448,0,6120,83041,0,0,0
FieldCont,,,,1,,11,9,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,9,152,0,0,0
FT,D19,38.0468,-121.6192,0,2014-11-10,11,9,2014,1347,17.75,8.55,90.1,,954,0.45,1.3,7.58,1.3,,0.04,0.41,215,,2.5,2.6,0.2,,0.08,0.09,17.5,0,527,2,,,1153.44,0.328895812,46.46,0.0097,3.32E+07,10700,518,11,28600,76347,0,0,0
JP,,38.0517,-121.6953,0,2014-11-10,11,9,2014,953,17.44,8.45,88.7,,1839,0.91,5,7.53,2.3,,0.05,0.48,463,,2.2,2.3,0.2,,0.08,0.09,17.2,2,1021,8,,,1340.34,0.489942413,80.1,0.02416,7.65E+08,19600,4656,365,26700,134536,0,0,0
MI,,37.9952,-121.5222,0,2014-11-10,11,9,2014,1213,18.12,8.14,86.2,,631,0.29,-0.7,8.33,3.1,,0.02,0.42,121,,3.4,3.5,0.4,,0.09,0.1,17,0,353,1,,,766.29,0.167803442,54.2,0.01314,2.31E+08,76,0,0,2270,2798,0,0,0
OR,D28A,37.9706,-121.5725,0,2014-11-10,11,9,2014,1312,17.42,8.53,89.2,,795,0.37,0.7,7.54,3.2,,0,0.19,170,,3.1,3.2,0.2,,0.08,0.08,15.7,0,447,2,,,2408.34,1.009821411,92.38,0.05455,1.75E+08,22700,855,6011,32100,112391,0.65,0,0
RR,P8,37.9633,-121.3663,0,2014-11-10,11,9,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJ,,38.0347,-121.4834,0,2014-11-10,11,9,2014,1243,17.39,7.51,78.3,,642,0.29,2.8,7.69,2.6,,0.01,0.66,122,,3.4,3.4,0.4,,0.11,0.12,16.8,1,356,7,,,768.96,0.192662137,85.17,0.01468,2.08E+08,3080,0,0,5410,41174,0.63,0,0
SJrep,,38.0347,-121.4834,1,2014-11-10,11,9,2014,,,,,,,,,,,,0.02,0.67,121,,3.4,3.3,0.3,,0.11,0.13,16.35,1,356.5,8,,,795.66,0.177201595,41.65,,2.63E+07,1170,47,0,13100,37118,0.31,0,0
VC,,37.872,-121.5277,0,2014-11-10,11,9,2014,1230,17.36,8.35,87.2,,665,0.31,0,7.49,2.1,,0,0.23,132,,3.6,3.6,0.4,,0.08,0.1,16,0,366,1,,,179.42,0.061228829,9.72,0.00678,4.05E+06,764,0,0,5350,49605,0.28,0,0
AT,D12,38.0232,-121.8071,0,2014-11-24,11,10,2014,855,14.64,8.89,89.2,,6275,3.4,11.5,7.66,1.6,,0.1,0.55,1811,,1.9,2,0,,0.09,0.1,16.3,3,3548,16,,,279.21,0.069465359,36.92,0.01017,4.93E+07,6390,624,0,4160,26682,0,0,0
BI,,38.1159,-121.6845,0,2014-11-24,11,10,2014,905,14.26,9.16,89.8,,1500,0.73,9,7.7,2.3,,0.13,0.58,352,,2.1,2.2,0,,0.08,0.09,19.2,2,830,10,,,477.55,0.145896021,40.43,0.01559,3.88E+07,2740,576,0,17433,51413,0,0,0
CV,D4,38.0602,-121.824,0,2014-11-24,11,10,2014,924,14.65,8.92,90,,7825,4.31,9.8,7.66,3.8,,0.11,0.55,2231,,1.8,1.8,0,,0.09,0.1,16.3,2,4372,13,,,156.39,0.032843212,33.72,0.00628,1.40E+07,190,0,0,3930,16152,0,0,0
FT,D19,38.0468,-121.6192,0,2014-11-24,11,10,2014,1354,14.42,8.87,87,,945,0.45,5.1,7.7,2.7,,0.1,0.55,214,,2.5,2.6,0,,0.08,0.08,18.4,1,521,6,,,376.85,0.187985954,55.69,0.02422,3.35E+07,872,0,25,25100,33270,0,0,0
JP,,38.0517,-121.6953,0,2014-11-24,11,10,2014,10,14.32,8.94,87.7,,1394,0.68,8,7.71,2.4,,0.1,0.56,363,,2.4,2.4,0,,0.08,0.08,18.3,2,773,11,,,393.63,0.193376243,62.4,0.0398,2.84E+07,11000,559,0,51100,124689,0.9,0,0
JPrep,,38.0517,-121.6953,1,2014-11-24,11,10,2014,,,,,,,,,,,,0.09,0.56,358,,2.4,2.4,0.2,,0.08,0.1,17.9,2,771,12,,,520.27,0.223236761,118.4,,1.44E+08,1430,1536,0,13700,49046,0,0,0
MI,,37.9952,-121.5222,0,2014-11-24,11,10,2014,1218,14.52,9.49,93.2,,573,0.26,-0.6,7.76,3,,0.05,0.55,109,,3.2,3.1,0.1,,0.08,0.08,16.4,0,318.5,1,,,436.35,0.083727622,53.86,0.00923,5.95E+05,244,693,0,9250,35722,0,0,0
OR,D28A,37.9706,-121.5725,0,2014-11-24,11,10,2014,1323,14.29,8.79,86.1,,709,0.33,0.5,7.66,2.2,,0.06,0.4,148,,3,3.1,0.1,,0.07,0.08,16.4,0,397,1,,,315.82,0.226742152,32.35,0.02166,7.79E+05,2170,0,0,8410,18449,0,0,0
RR,P8,37.9633,-121.3663,0,2014-11-24,11,10,2014,1327,15.61,8.59,84.8,,851,0.4,7.3,7.4,2.7,,0.12,1.78,174,,2.9,3,0.1,,0.2,0.21,13.7,1,251,6,,,31.73,0.007786482,16.54,0.00441,0.00E+00,303,0,0,171,47343,0.61,0,0
SJ,,38.0347,-121.4834,0,2014-11-24,11,10,2014,1408,14.46,8.97,87.5,,440,0.2,0.5,7.6,2,,0.08,0.58,75,,3,3,0.1,,0.08,0.08,17.4,0,244,2,,,355.19,0.078297253,65.18,0.01515,3.40E+06,480,0,0,2970,11747,0,0,0
VC,,37.872,-121.5277,0,2014-11-24,11,10,2014,1238,14.43,8.83,86.7,,665,0.31,0.6,7.63,2.7,,0.03,0.47,131,,3.3,3.4,0.3,,0.08,0.08,15.7,1,369,2,,,115.19,0.060093663,10.3,0.00618,0.00E+00,520,0,0,5190,37976,0,0,0
AT,D12,38.0232,-121.8071,0,2014-12-10,12,11,2014,915,14.11,8.09,79.5,,2854,1.46,15,7.43,2.2,,0.17,0.61,770,,2.8,3,0.4,,0.07,0.09,20.1,2,1579,16,,,52.33,0.019448976,11.21,0.00604,4.79E+05,1710,480,0,2680,18328,0,0,0
BI,,38.1159,-121.6845,0,2014-12-10,12,11,2014,944,13.86,7.64,74,,337,0.15,47,7.36,5,,0.21,0.53,64,,4.7,5.1,0.5,,0.06,0.1,20.8,3,224,33,,,53.4,0.036712215,27.53,0.76187,2.24E+07,7,0,0,382,16019,0,0,0
BIrep,,38.1159,-121.6845,1,2014-12-10,12,11,2014,,,,,,,,,,,,0.19,0.53,55,,4.7,5.2,0.5,,0.06,0.1,20.8,5,248,31.5,,,18.16,0.014095858,28.57,,9.21E+06,46,0,0,4490,16305,0,0,0
CV,D4,38.0602,-121.824,0,2014-12-10,12,11,2014,946,14.11,8.11,79.5,,3076,1.58,25.8,7.47,2.4,,0.23,0.59,843,,2.7,2.8,0.3,,0.08,0.09,20.5,5,1778,30,,,65.15,0.02097562,32.41,0.01725,2.30E+06,34,0,0,307,4435,0,0,0
FieldCont,,,,1,,12,11,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,150,0,0,0
FT,D19,38.0468,-121.6192,0,2014-12-10,12,11,2014,1421,14.06,8.32,81.1,,1178,0.57,4.8,7.53,2.4,,0.17,0.69,289,,3.1,3.1,0.3,,0.07,0.09,20.5,2,662,11,,,181.6,0.479755003,53.4,0.1777,2.29E+07,948,96,0,23100,31007,0,0,0
JP,,38.0517,-121.6953,0,2014-12-10,12,11,2014,1016,14.12,8.1,79.2,,1722,0.85,13.1,7.46,2.7,,0.14,0.65,448,,2.9,3,0.3,,0.07,0.09,20.5,2,954,11,,,96,0.033472481,56.07,0.03713,4.82E+07,5280,518,0,19300,41252,0,0,0
MI,,37.9952,-121.5222,0,2014-12-10,12,11,2014,1242,13.94,8.18,79.4,,457,0.21,0.1,7.54,2.8,,0.09,0.77,81,,3.2,3.3,0.6,,0.07,0.08,19.6,0,253,2,,,160.2,0.068488586,212.85,0.03849,3.17E+06,240,288,0,2550,51091,0,0,0
OR,D28A,37.9706,-121.5725,0,2014-12-10,12,11,2014,1346,14.27,7.67,75.1,,858,0.4,0.6,7.46,2,,0.12,0.65,188,,3.1,3.2,0.3,,0.07,0.08,18.9,0,473,2,,,0.28,1.425095635,7.48,0.93155,4.01E+05,32,0,0,290,30747,0,0,0
RR,P8,37.9633,-121.3663,0,2014-12-10,12,11,2014,1308,13.94,7.51,72.9,,412,0.18,1.4,7.41,2.9,,0.08,2.28,191,,3.4,3.4,0.1,,0.27,0.29,13.7,1,245,3,,,39.52,0.014053761,24.4,0.00814,5.60E+06,283,0,254,594,60865,0,0,0
SJ,,38.0347,-121.4834,0,2014-12-10,12,11,2014,1339,14.45,7.72,75.7,,912,0.43,2,7.44,2.4,,0.08,0.83,66,,3.6,3.6,0.3,,0.07,0.08,18.9,1,503,4,,,136.7,0.044086941,27.02,0.0107,1.42E+06,1780,0,0,5840,33185,0,0,0
VC,,37.872,-121.5277,0,2014-12-10,12,11,2014,1303,14.08,8.25,80.3,,486,0.22,1,7.49,2.4,,0.07,0.79,86,,3.3,3.4,0.3,,0.07,0.08,18.5,1,270,3,,,89.71,0.146327522,33.27,0.04692,7.90E+06,49,0,0,4720,26182,0,0,0
AT,D12,38.0232,-121.8071,0,2015-08-14,8,1,2015,840,22,8.99,105.3,,5254,2.81,22.8,7.96,2.9,,0.04,0.27,1440,,2.3,2.4,0.25,,0.09,0.12,11.9,5,2944,26,2.54,1.71,1432.19,0.365591829,170.29,,8.40E+08,3127,3123,8,174,5604,0.269349413,0,0
ATrep,D12,38.0232,-121.8071,1,2015-08-14,8,1,2015,,,,,,,,,,,,0.04,0.28,1408,,2.4,2.6,0.27,,0.08,0.12,11.7,4,2942,17,1.84,1.52,1954.97,0.377656511,223.91,,,5679,563,9,40,12729,0,0,0
BI,,38.1159,-121.6845,0,2015-08-14,8,1,2015,903,23.6,9.46,98.4,,1840,0.91,7.6,7.9,2.6,,0.02,0.24,466.4,,2.4,2.6,0.21,,0.06,0.1,12.6,1,1024,7,2.72,0.66,2096.48,0.785833085,41.65,,2.11E+09,11874,100,9,1507,40392,0.312532526,0,0
CV,D4,38.0602,-121.824,0,2015-08-14,8,1,2015,940,21.77,9.05,104.9,,5937,3.2,21.9,7.83,3,,0.04,0.33,1492,,2.1,2.3,0.21,,0.08,0.12,10.1,5,3322,22,2.32,1.42,791.39,0.246873982,67.6,,3.76E+08,2108,0,9,320,25692,0.268641481,0,0
FieldCont,,,,1,,8,1,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0,9,7,0,0,0,0
FT,D19,38.0468,-121.6192,0,2015-08-14,8,1,2015,1432,23.28,8.54,100.3,,819,0.38,2.4,8.26,1.3,,0.02,0.13,182.2,,2.9,2.9,0.19,,0.08,0.1,10.9,1,459,2,1.71,0,282.49,0.131195638,0,,2.37E+08,4765,0,9,139,37848,0.281516803,0,0
JP,,38.0517,-121.6953,0,2015-08-14,8,1,2015,943,22.7,8.53,99.4,,1741,0.86,11.7,7.94,2.4,,0.03,0.32,434.1,,2.5,2.6,0.22,,0.07,0.11,8.87,2,971,9.5,2.75,0.71,1338.74,0.819364146,59.27,,2.02E+09,498,593,8,47,153,1.065906638,0,0
MI,,37.9952,-121.5222,0,2015-08-14,8,1,2015,1411,24.56,9.02,108.8,,615,0.28,0.9,8.07,3.5,,0.01,0.11,122.07,,3.3,3.4,0.28,,0.06,0.1,10.2,1,341,0,4.17,0.69,469.87,0.28944341,8.71,,2.28E+08,15150,311,9,1665,207768,0,0,0
OR,D28A,37.9706,-121.5725,0,2015-08-14,8,1,2015,1345,24.94,7.45,90.2,,712,0.33,2,7.55,3.5,,0.02,0.1,148.1,,3.5,3.5,0.23,,0.07,0.1,9.53,1,395,2,3.66,0.77,489.68,0.513433003,14.95,,3.40E+08,4221,0,9,533,36333,0,0,0
RR,P8,37.9633,-121.3663,0,2015-08-14,8,1,2015,1248,26.29,8.72,108.6,,1617,0.79,4.5,7.96,5.1,,0.1,1.62,357.4,,5.3,5.5,0.45,,0.5,0.8,9.54,2,910,5,5.55,2.73,536.78,0.208308265,35.87,,2.47E+08,4437,0,9,303,8741,0,0,0
SJ,,38.0347,-121.4834,0,2015-08-14,8,1,2015,1330,24.81,8.96,108.2,,676,0.31,9,7.9,3.3,,0.02,0.21,135,,3.7,3.7,0.24,,0.09,0.13,9.53,2,373,5,4.02,1.11,820.58,0.429922452,58.35,,5.51E+08,4035,0,9,632,45348,0,0,0
VC,,37.872,-121.5277,0,2015-08-14,8,1,2015,1246,24.76,8.02,96.9,,714,0.33,3.6,7.7,5.6,,0.02,0.2,140.37,,4.6,4.7,0.35,,0.07,0.12,9.87,1,393.5,4,8.12,1.41,1141.69,0.918634993,29.55,,3.80E+08,1739,677,9,697,156,0,0,0
AT,D12,38.0232,-121.8071,0,2015-08-27,8,2,2015,812,21.57,9.18,105.3,,3904,2.04,11.4,7.92,2.3,,0.019,0.274,993,,2.3,2.5,0.33,,0.075,0.09,11.8,2,2224,14,2.5,0.89,2002.5,0.507041117,0,,1.94E+09,7387,2031,9,726,47515,0,0,0
ATrep,,38.0232,-121.8071,1,2015-08-27,8,2,2015,,,,,,,,,,,,0.016,0.273,1032.4,,2.3,2.4,0.35,,0.078,0.09,11.9,2,2218,14,2.06,1.03,1349.69,0.404109975,18.42,,,12922,0,9,477,68780,0,0,0
BI,,38.1159,-121.6845,0,2015-08-27,8,2,2015,920,22.38,8.86,102.4,,1262,0.61,11.1,7.96,2.3,,0.014,0.242,305,,2.4,2.4,0.15,,0.059,0.09,12.3,2,714,13,3.71,0.96,3129.24,0.856161949,56.47,,1.82E+09,3479,0,10,18,933,0,0,0
CV,D4,38.0602,-121.824,0,2015-08-27,8,2,2015,902,21.33,9.38,107,,4309,2.27,15.9,7.98,2.8,,0.024,0.373,1099.4,,2.05,2.1,0.16,,0.079,0.09,12.5,2,2396,20,2.13,0.76,1058.66,0.256952681,44.24,,9.55E+08,4052,2767,9,159,9238,0,0,0
FieldCont,,,,1,,8,2,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,0,9,6,0,0,0,0
FT,D19,38.0468,-121.6192,0,2015-08-27,8,2,2015,1435,22.67,8.66,100.5,,754,0.35,3,8.24,1.5,,0.011,0.128,172.4,,2.7,3.1,0.17,,0.064,0.09,10.8,1,426,3,1.66,0,782.31,0.298291478,6.78,,7.94E+07,17627,222,11,953,183800,0,0,0
JP,,38.0517,-121.6953,0,2015-08-27,8,2,2015,1025,22.39,8.85,102.3,,1326,0.64,11.9,8.01,2.1,,0.017,0.299,272,,2.4,2.5,0.14,,0.075,0.09,12.2,2,757,11,4.01,0.91,3234.71,0.982570191,0,,8.29E+08,12882,288,13,6289,55699,0,0,0
MI,,37.9952,-121.5222,0,2015-08-27,8,2,2015,1306,24.16,9.48,112.8,,620,0.28,0.5,8.2,2.7,,0,0.0995,120.5,,3.3,3.3,0.21,,0.057,0.08,9.84,1,343,2,4.45,0,1747.52,0.686252552,0,,2.85E+08,5674,2035,9,2441,5565,0,0,0
OR,D28A,37.9706,-121.5725,0,2015-08-27,8,2,2015,1400,23.91,7.64,90.7,,703,0.33,4.2,7.61,2.7,,0.011,0.066,148,,3.3,3.4,0.2,,0.074,0.09,9.32,1,388,6,4.26,1.32,2022.53,0.903358141,18.42,,5.90E+08,7955,0,9,5171,115282,0,0,0
RR,P8,37.9633,-121.3663,0,2015-08-27,8,2,2015,1200,26.61,7.46,92.8,,1634,0.8,2.6,7.78,4,,0.083,1.88,412,,5.2,5.3,0.56,,0.46,0.75,10.5,1,918,5,5.2,2.51,1520.57,0.51718061,40.98,,2.77E+08,29495,324,9,10069,440342,0,0,0
SJ,,38.0347,-121.4834,0,2015-08-27,8,2,2015,1238,24.6,8.68,104.6,,647,0.3,1.1,8.18,3.6,,0.01,0.214,136,,3.7,3.7,0.28,,0.095,0.1,9.34,1,356,3,5.6,0.79,1762.2,1.04437744,27.37,,8.35E+08,4508,2500,9,1004,36,0.538574974,0,0
VC,,37.872,-121.5277,0,2015-08-27,8,2,2015,1310,25.26,7.36,89.4,,694,0.32,4.7,7.55,3.3,,0,0.058,138.03,,4.2,4.3,0.25,,0.059,0.09,8.34,1,385,4,8.55,1.21,5318.64,1.217574351,0,,8.41E+09,27331,1697,11,12250,381198,0,0,0
AT,D12,38.0232,-121.8071,0,2015-09-16,9,3,2015,827,20.56,8.44,96.8,,9593,5.37,9.6,7.53,2.1,,0.02,0.28,2574,,2.05,2.1,0.33,,0.06,0.11,11.4,4,5344,17,2.84,0.99,1704.53,0.6246544,0,,5.64E+08,1058,0,9,189,4663,0,0,0
ATrep,,38.0232,-121.8071,1,2015-09-16,9,3,2015,,,,,,,,,,,,0.01,0.32,2730,,2,2,0.34,,0.07,0.12,11.9,4,5336,18,2.68,0.59,1851.91,0.636839753,24.56,,,6257,323,9,1264,114345,0.311394831,0,0
BI,,38.1159,-121.6845,0,2015-09-16,9,3,2015,826,21.22,8.78,99.8,,3635,1.89,9.9,7.93,1.6,,0.02,0.3,1001.25,,2.2,2.4,0.29,,0.06,0.11,14.1,2,2076,12,2.95,0.65,1982.21,0.767462169,0,,3.98E+08,7757,349,9,1680,58553,0,0,0
CV,D4,38.0602,-121.824,0,2015-09-16,9,3,2015,930,20.62,8.99,103.2,,9878,5.54,9.4,7.76,2.4,,0.02,0.25,2774,,1.9,2,0.32,,0.05,0.11,12.1,3,5556,19,2.29,0.81,654.9,0.223690243,44.56,,1.61E+08,3935,39,9,353,110229,0.313723798,0,0
FieldCont,,,,1,,9,3,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,9,6,0,0,0,0
FT,D19,38.0468,-121.6192,0,2015-09-16,9,3,2015,1338,21.57,9.97,113.4,,954,0.45,1.4,8.42,1.2,,0.02,0.17,265,,2.8,2.8,0.29,,0.07,0.09,15,0,615,1,2.16,0,889,0.474668683,0,,2.60E+08,5699,161,9,1947,111952,0,0,0
JP,,38.0517,-121.6953,0,2015-09-16,9,3,2015,927,21.52,8.87,101.3,,3036,1.56,8.3,8.01,2,,0.02,0.38,903.48,,2.2,2.2,0.22,,0.09,0.11,14.1,2,1782,10,3.37,0.58,2143.48,0.552642327,7.37,,3.61E+08,10279,683,9,7570,47019,0.251444836,0,0
MI,,37.9952,-121.5222,0,2015-09-16,9,3,2015,1313,22.76,9.24,107.5,,558,0.25,0.2,7.92,3.8,,0,0.15,104,,2.8,3.1,0.26,,0.05,0.09,11.2,0,316,2,4.94,0,1981.4,0.725067795,0,,3.05E+08,39679,2725,9,7167,685733,0.391960691,0,0
OR,D28A,37.9706,-121.5725,0,2015-09-16,9,3,2015,1305,22.72,7.77,90.3,,670,0.31,3.8,7.76,3.1,,0,0.14,132.5,,2.9,3.1,0.25,,0.06,0.1,11,1,371,4,4.24,0.79,1834.48,1.24133794,18.73,,6.06E+07,18423,1708,9,16532,102297,0.361640626,0,0
RR,P8,37.9633,-121.3663,0,2015-09-16,9,3,2015,1205,24.41,10.05,122.5,,1501,0.73,6.6,7.67,3.6,,0.19,2.16,314,,5.3,5.3,0.66,,0.42,0.68,11.7,1,843,11,3.07,1.29,94.06,0.020694934,8.28,,8.16E+07,2614,294,9,717,385353,0,0,0
SJ,,38.0347,-121.4834,0,2015-09-16,9,3,2015,1242,22.96,8.26,96.9,,520,0.24,1.4,7.76,3.8,,0.01,0.18,98,,3.1,3.2,0.24,,0.05,0.1,10.5,1,288,4,5.06,0.72,2827,1.19752448,16.87,,9.02E+07,48421,619,9,16491,361600,0.256922263,0,0
VC,,37.872,-121.5277,0,2015-09-16,9,3,2015,1216,22.38,8.22,94.7,,603,0.28,4.5,7.79,3.6,,0.02,0.13,122,,3.6,3.6,0.23,,0.06,0.1,10.6,1,334,5,4.34,0.95,2029.2,1.01844045,0,,1.54E+08,19200,4269,9,8211,286040,0.324937471,0,0
AT,D12,38.0232,-121.8071,0,2015-09-28,9,4,2015,815,21.23,7.95,91.9,,7677,4.22,9.8,7.55,2.4,,0.02,0.37,2389,,2.1,2.2,0.32,,0.09,0.12,12.8,3,4628,25,2.15,1.11,1710.94,0.299123886,4.81,,3.02E+08,4994,2699,9,4974,136870,0.421547484,0,0
ATrep,D12,38.0232,-121.8071,1,2015-09-28,9,4,2015,,,,,,,,,,,,0.02,0.37,2120,,2,2.1,0.32,,0.09,0.13,13.2,2,4624,16,1.83,0.75,1028.48,0.210667143,23.39,,,9460,184,9,5707,170580,0,0,0
BI,,38.1159,-121.6845,0,2015-09-28,9,4,2015,830,21.74,10.7,92.3,,2822,1.44,10.4,7.7,1.9,,0.03,0.36,767.31,,2.2,2.3,0.21,,0.08,0.12,15.3,3,1567,17,3.13,1.27,2259.89,0.694336758,0,,1.04E+08,13824,666,9,20972,119328,0.344561399,0,0
CV,D4,38.0602,-121.824,0,2015-09-28,9,4,2015,930,20.85,8.13,93.4,,8409,4.66,10.2,7.72,2.3,,0.03,0.41,2520,,2,2.1,0.31,,0.1,0.13,14.1,4,4752,18,2.15,0.72,948.38,0.19117339,27.98,,2.21E+08,14549,334,9,1954,153348,0.389329768,0,0
FieldCont,,,,1,,9,4,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0,9,8,71,0,0,0
FT,D19,38.0468,-121.6192,0,2015-09-28,9,4,2015,1350,22.14,8.26,94.7,,409,0.18,2,8.08,1.7,,0.02,0.16,204,,2.7,2.8,0.2,,0.09,0.11,14.7,2,502,4,3.39,0.61,1380.92,0.760525735,0,,9.58E+07,17284,182,9,13770,262230,0.265763832,0,0
JP,,38.0517,-121.6953,0,2015-09-28,9,4,2015,910,21.64,10.1,91.2,,2716,1.38,10,7.68,1.4,,0.04,0.37,723.13,,2.2,2.3,0.26,,0.09,0.12,15.6,2,1515,15,3.13,1.03,1611.61,0.470683093,0,,1.61E+08,19783,34,9,7902,117708,0,0,0
MI,,37.9952,-121.5222,0,2015-09-28,9,4,2015,1328,22.89,8.07,94.2,,555,0.25,0.5,7.64,3.6,,0.02,0.22,108,,2.9,2.9,0.26,,0.08,0.11,13.6,0,307,2,3.97,0.65,1065.86,0.348439695,15.91,,2.37E+07,20908,1168,28,5811,478163,0.303027712,0,0
OR,D28A,37.9706,-121.5725,0,2015-09-28,9,4,2015,1155,22.81,7.25,84.3,,664,0.31,3.1,7.64,2.3,,0.01,0.11,135,,3,3.1,0.23,,0.06,0.1,12.1,1,368,5,4.29,1.28,727.52,0.404205456,8.12,,3.96E+07,9918,576,9,13129,284084,0.301130009,0,0
RR,P8,37.9633,-121.3663,0,2015-09-28,9,4,2015,1207,23.81,7.39,87.7,,1272,0.61,5.7,7.59,4.6,,0.11,2.38,253.34,,5.1,4.5,0.57,,0.42,0.82,14.8,2,705,10,5.37,2.09,52.55,0.016757907,12.87,,5.07E+06,3328,12,9,63,197016,0,0,0
