"","count_(Intercept)","count_chlor","count_depth","count_DO","count_habitat","count_month","count_salinity2","count_sediment","count_turb","count_w_temp","zero_(Intercept)","zero_chlor","zero_depth","zero_DO","zero_habitat","zero_month","zero_salinity2","zero_sediment","zero_turb","zero_w_temp","df","logLik","AICc","delta","weight"
"223669",9.54613752491709,NA,NA,0.282478310711626,NA,"+",-0.025956835202428,NA,-0.00359877083756283,-0.131813535936398,0.519333392167011,NA,NA,-0.44329033353208,NA,"+",1.23266135572726,NA,0.0116478590583941,0.0748230184997981,13,-1421.36913536253,2870.4716040584,16.0126337823544,4.77124981687651e-05
"191863",13.053951482256,NA,0.199498998779761,0.043224424578022,NA,"+",-0.102150590147394,"+",NA,-0.238966180537886,2.63460408974944,NA,-0.160280089312017,-0.476060667185361,NA,"+",1.21695230784883,"+",NA,0.0332991778966608,19,-1414.37388233581,2870.4732548677,16.0142845916589,4.76731322994278e-05
"184168",10.6609413779033,0.00188817911266529,0.189671248878705,0.047734831200431,NA,NA,-0.0546676975201829,"+",NA,-0.136562565321744,0.995254104664246,0.0307355473055304,-0.144426354450472,-0.419982393060071,NA,NA,1.22558181657638,"+",NA,0.0718625419319671,19,-1414.41568663613,2870.55686346834,16.0978931922955,4.57212726701964e-05
"160570",11.6532648537964,0.00742841225733842,NA,NA,"+","+",0.246299706014679,NA,NA,-0.10453487249692,-3.32011072857327,0.0714151978136642,NA,NA,"+","+",1.22807442479076,NA,NA,0.142060715913066,15,-1419.15217640634,2870.61204512037,16.1530748443256,4.44770287802124e-05
"61048",7.6337481325565,-0.00175220559944061,0.197012971756163,0.0713000902680958,NA,"+",0.0164309768761257,"+",NA,NA,2.88419721830938,0.0297482121046211,-0.141838703912693,-0.451543007376506,NA,"+",1.19828762441421,"+",NA,NA,19,-1414.4953421998,2870.71617459568,16.2572043196369,4.22205939817084e-05
"62587",9.15882852566795,NA,0.108172553208642,NA,"+","+",0.134417241026166,"+",NA,NA,0.933004047287029,NA,-0.301181941939514,NA,"+","+",1.30011742499889,"+",NA,NA,19,-1414.58756087822,2870.90061195252,16.4416416764761,3.85012008851703e-05
"251884",11.0736705272383,0.0255177358481221,0.152534031327281,NA,"+",NA,0.130200501632575,"+",0.0126594744463948,-0.111761389067007,-3.56401329883296,0.0643419033869927,-0.219694974476364,NA,"+",NA,1.44833306748123,"+",0.0167565746477183,0.173621837406006,23,-1409.70333594766,2870.92667189533,16.467701619285,3.80027855590567e-05
"123121",8.94380056016165,NA,NA,NA,NA,"+",-0.0842224030052086,"+",-0.00438806336325912,NA,-1.37006012455609,NA,NA,NA,NA,"+",1.19254400260941,"+",0.0142769456818703,NA,15,-1419.32075309202,2870.94919849173,16.4902282156859,3.7577150380558e-05
"59509",6.76116161236356,NA,NA,0.270542676131859,NA,"+",-0.0989041448945908,"+",NA,NA,3.27663321474375,NA,NA,-0.529792111631049,NA,"+",1.14544537075649,"+",NA,NA,15,-1419.38971772104,2871.08712774977,16.6281574737286,3.5072997555793e-05
"117478",7.57263473812724,-0.0324305228396446,NA,0.185601423328083,NA,NA,-0.0794544818847995,"+",0.0001030340614925,NA,1.01742882079178,0.0328984312543329,NA,-0.336763211303984,NA,NA,1.19639099213785,"+",0.0109638963955689,NA,17,-1417.08829980844,2871.14747340329,16.6885031272436,3.40305519279711e-05
"180577",11.9111546269895,NA,NA,NA,NA,NA,-0.164999124954402,"+",NA,-0.146413997536045,-4.93670855792906,NA,NA,NA,NA,NA,1.20095899885213,"+",NA,0.186321979169783,13,-1421.73289006921,2871.19911347175,16.7401431957019,3.31631285531634e-05
"65152",9.00830453061176,0.00730675255795465,0.130197928775427,-0.00300791204152154,"+","+",0.117999424647818,"+",NA,NA,7.22510471268356,0.0605419314295171,-0.235310331965283,-0.790133180211491,"+","+",1.30725521537344,"+",NA,NA,23,-1409.83957773375,2871.1991554675,16.7401851914569,3.31624322051625e-05
"188272",10.8478828168001,0.0102852839241407,0.133427510791137,-0.00938305392234821,"+",NA,0.0552702486698077,"+",NA,-0.0940799892052241,5.28197879155479,0.0608846971779765,-0.236831521322418,-0.763718888099408,"+",NA,1.33688787359916,"+",NA,0.0772957322062729,23,-1409.84421190337,2871.20842380674,16.7494535306996,3.30091074102152e-05
"127225",9.8631181438077,NA,NA,NA,"+","+",0.219146681538595,"+",0.00851847261863781,NA,-0.471829370292991,NA,NA,NA,"+","+",1.25620983127649,"+",0.0167742042889753,NA,19,-1414.80023933662,2871.32596886932,16.8669985932793,3.11249881551796e-05
"181090",12.0759482675948,-0.0476867053241412,NA,NA,NA,NA,-0.130800513812066,"+",NA,-0.139914967449207,-4.26095241322938,0.0474338493429911,NA,NA,NA,NA,1.18118132064075,"+",NA,0.139752409136282,15,-1419.5495380778,2871.40676846329,16.947798187241,2.98926065500888e-05
"222130",13.7687406690954,-0.0430629588521759,NA,NA,NA,"+",-0.0115499751309582,NA,-0.00754017972479538,-0.206392089680691,-4.5038639565365,0.0437469412312847,NA,NA,NA,"+",1.24252181851299,NA,0.0147645594028405,0.129452052182424,13,-1421.88710264256,2871.50753861846,17.0485683424158,2.84237794573718e-05
"250858",11.1445285652907,0.0180795267254081,NA,NA,"+",NA,0.197734489724977,"+",0.0104541819823884,-0.065248263367539,-5.27620327696735,0.0731783560007391,NA,NA,"+",NA,1.40601556685057,"+",0.0189133395215803,0.212724815728444,21,-1412.5175942848,2871.60944599535,17.1504757193079,2.70117622819781e-05
"252397",11.1206699092195,NA,NA,0.0188355751868316,"+",NA,0.164286825970417,"+",0.00967650433722018,-0.0714541046215141,0.656860444982204,NA,NA,-0.577435924005661,"+",NA,1.35507126683712,"+",0.0137015523313513,0.173976097127009,21,-1412.54738258263,2871.669022591,17.2100523149543,2.6218994090445e-05
"158518",9.7840624052739,-0.0252005811880141,NA,0.289819866859466,NA,"+",-0.0128126147269945,NA,NA,-0.142955165298197,2.59176164792721,0.044527834373096,NA,-0.525179716993725,NA,"+",1.16043417026798,NA,NA,0.0121286998376379,13,-1422.00083968575,2871.73501270484,17.2760424287985,2.53680131718974e-05
"128764",8.80920755724763,0.0267118698251152,0.140803402123844,NA,"+","+",0.205756252352964,"+",0.0123300485516051,NA,0.192226991866404,0.0666609360564093,-0.237495512314693,NA,"+","+",1.37755040782261,"+",0.0164752728006631,NA,23,-1410.17235983082,2871.86471966163,17.4057493855876,2.37750230532668e-05
"63613",10.0338050088628,NA,NA,-0.0169827299390907,"+","+",0.163845810433793,"+",NA,NA,6.43978536649282,NA,NA,-0.774355138061428,"+","+",1.21049803333508,"+",NA,NA,19,-1415.09076031469,2871.90701082545,17.4480405494055,2.32775644178855e-05
"246754",11.9921000112923,-0.0439029639066325,NA,NA,NA,NA,-0.130879802543128,"+",-0.00214617839937101,-0.134081360767028,-5.09046915560273,0.0352416521850042,NA,NA,NA,NA,1.26557806241167,"+",0.013913331916146,0.159294873816514,17,-1417.47997487169,2871.93082352978,17.4718532537377,2.30020569375821e-05
