cond((Int)),disp((Int)),cond(chlor2),cond(depth2),cond(DO2),cond(habitat),cond(month),cond(salinity2),cond(sediment),cond(turb2),cond(w_temp2),cond(year),df,logLik,AICc,delta,weight
7.09208399805462,+,,0.476064740852343,0.352551454153157,,+,0.157304242133842,+,-0.19030078758984,,,11,-1376.88568719691,2777.01665741269,2.32643429826476,0.0265196065533841
7.09701869074567,+,,0.465774168599555,0.390634018247645,,,0.161615853407458,+,,,,9,-1379.28507852936,2777.41127855404,2.72105543961152,0.0217708900507379
7.03959081246293,+,,0.4609145324152,0.376665297454448,,,0.163269838562763,+,-0.179223154653066,0.0323899968553749,,11,-1377.15051471335,2777.54631244557,2.85608933114054,0.0203495095919891
7.43145891042004,+,,0.601956678099802,0.272572099271486,,+,0.823076544906015,+,-0.240487753387042,-0.15436117426756,+,15,-1372.71252953082,2777.73275136934,3.04252825491312,0.0185382719838294
7.19183675935075,+,0.0847330025020272,0.550363376296654,0.365669625542103,,+,0.738814561468933,+,-0.191175400383248,,+,15,-1372.75990056992,2777.82749344754,3.13727033310852,0.0176805702728408
7.01359005969978,+,0.108144706312821,0.503332336385741,0.423044454576897,,+,,+,-0.202335133829944,,,11,-1377.30938427979,2777.86405157845,3.17382846401733,0.0173603218097099
7.10690527637252,+,0.115335286581767,0.536428144395497,0.388937442690786,,,0.692788443652577,+,-0.198962099626305,-0.04914747211766,+,15,-1372.879482557,2778.06665742169,3.3764343072603,0.0156878154469915
7.06423472466191,+,0.0799860686653942,0.463067408883394,0.398333552374,,,0.161479382294118,+,,,,10,-1378.53349657753,2778.09985700483,3.40963389040599,0.0154295504830723
7.04193890693383,+,,0.490566155318673,0.409851382744957,,,,+,-0.213344238686836,-0.0422212422790327,,10,-1378.5499353897,2778.13273462917,3.44251151474055,0.0151779804225593
7.32838546233342,+,0.0978709394456566,0.597322305063622,0.299765063313005,,+,0.794115686985319,+,-0.234433845432145,-0.172098760989177,+,16,-1371.79725523618,2778.22252979604,3.53230668161223,0.0145115972151014
7.05193171508373,+,,0.502534432752626,0.427765576733112,,+,,+,-0.205177646925344,,,10,-1378.60624197604,2778.24534780185,3.55512468742563,0.0143469752323028
7.17873342522105,+,,0.530235961938736,0.424095788898902,,,0.712594714769335,+,,,+,12,-1376.40721250943,2778.29309800465,3.60287489022267,0.0140084964299015
7.20332625821093,+,,0.53893374639073,0.371945422182799,,,0.726888133361819,+,-0.19455337157889,-0.00335465241593515,+,14,-1374.18985407185,2778.38927752168,3.69905440725142,0.0133507728541741
7.10224485641222,+,0.116871325506182,0.512814318869638,0.348366086590131,,+,,+,-0.228079068648293,-0.118523994767583,,12,-1376.50492859917,2778.48853018411,3.79830706968596,0.012704394327443
7.30100261176625,+,0.117628585401603,0.43829399526224,0.343917772277134,+,,0.159410813304619,+,-0.189381952404058,,,13,-1375.44785959074,2778.62905251482,3.93882940038748,0.0118424055266582
7.07307395067383,+,,0.499929925544406,0.461385936170046,,,,+,,,,8,-1381.10971886804,2778.88920517794,4.19898206351127,0.0103979684606012
7.07044883660952,+,0.107772484756072,0.483884822774987,0.339167013406044,,+,0.133776564596032,+,-0.201110212242116,-0.0401327119627222,,13,-1375.60688158604,2778.94709650541,4.25687339098386,0.0101013066119809
7.1355218493215,+,,0.509115912387694,0.359434061187977,,+,,+,-0.231660671072297,-0.106215556543666,,11,-1377.95911768642,2779.16351839171,4.47329527728471,0.00906529911046178
7.07550620183533,+,,0.461322971981874,0.405627606015557,,,0.192602848981693,+,,0.0560657170211991,,10,-1379.07342787197,2779.17971959371,4.48949647928066,0.00899216136921
7.12906261038275,+,,0.475191104253493,0.381797011170621,,+,0.170312414408671,+,,,,10,-1379.08472197177,2779.2023077933,4.51208467887363,0.00889117435349867
7.09151989001778,+,0.0794121249072038,0.515581844110834,0.450927846057003,,,0.686660544885148,+,,,+,13,-1375.73522557501,2779.20378448336,4.51356136892946,0.00888461202205298
7.10466579890284,+,,0.479243711026713,0.34509425140838,,+,0.147759258600268,+,-0.19567541441964,-0.01969659280238,,12,-1376.86995889753,2779.21859078084,4.52836766641485,0.00881908078577246
7.75123827997677,+,,0.659268405353203,,,+,0.864486555884278,+,-0.3051538743945,-0.246462080632734,+,14,-1374.68979085696,2779.38915109192,4.69892797749117,0.0080981649752636
7.04732042098421,+,0.0780014309515647,0.498272360929385,0.465820193418804,,,,+,,,,9,-1380.37305098824,2779.58722347182,4.89700035738679,0.007334588431541
7.2548968302787,+,,0.550660243270308,0.399738914143372,,+,0.753230780665122,+,,,+,13,-1375.93062070046,2779.59457473424,4.90435161981577,0.00730767867482395
