cond((Int)),zi((Int)),disp((Int)),cond(chlor2),cond(depth2),cond(DO2),cond(habitat),cond(month),cond(salinity2),cond(sediment),cond(turb2),cond(w_temp2),cond(year),zi(depth2),zi(salinity2),df,logLik,AICc,delta,weight
9.17375890288822,-1.76532102104414,+,,1.49223370158185,-0.17522788037742,+,,1.5909543652706,,,,+,-1.42644274539413,-1.05929227528813,14,-1350.85933213855,2731.72823365509,6.82417657972883,0.00760575212028374
8.92983245844442,-1.76530857718321,+,0.1422431022201,1.46432911028885,,+,,1.54131176879702,,,,+,-1.42643600906452,-1.05929413143492,14,-1350.91152647667,2731.83262233132,6.9285652559588,0.00721895698701474
9.19081762802379,-1.76533882228748,+,,1.53311488364352,-0.0929295906614763,+,,1.66848695599266,,,0.26760891587055,+,-1.42644702724289,-1.05928129723651,15,-1349.80084764793,2731.90938760354,7.00533052818128,0.00694712458177129
9.07030114143959,-1.76531689628166,+,,1.53996488537523,,+,,1.66930944161604,,0.0498324601924597,0.291590006682167,+,-1.42644264464542,-1.05928767963849,15,-1349.89064430766,2732.08898092301,7.18492384764431,0.00635048498128751
8.882283696042,-1.76532544315659,+,,1.47565511054527,,+,,1.56296489401543,,0.0280088897015725,,+,-1.42642791885399,-1.0592896659697,14,-1351.21346766896,2732.43650471592,7.53244764055626,0.0053375635699148
10.0084539793825,-1.76529767316059,+,,1.6360236096996,-0.157011574756965,+,+,1.84049256248401,+,,,+,-1.42642926017442,-1.05927682340079,18,-1346.69884783887,2732.7342810436,7.83022396823299,0.004599194248119
10.1298159196618,-1.76531124032354,+,0.0121843506508209,1.62265867369742,-0.208667562732932,+,+,1.91470581383813,,-0.180845446099881,-0.00652051198870118,+,-1.42643287800884,-1.05927534508895,18,-1346.74581173619,2732.82820883823,7.92415176286431,0.00438819169384023
9.80246582146033,-1.76531303348378,+,0.091610931702432,1.63235133632039,,+,+,1.81719067874002,+,,,+,-1.4264385645934,-1.05928133294064,18,-1346.9166243702,2733.16983410625,8.26577703088378,0.00369915565913349
9.77376442052094,-1.76532412083019,+,,1.61739881942464,,+,+,1.84397032869742,+,-0.107352985722473,,+,-1.42645741079606,-1.05930228375613,18,-1346.97908166693,2733.29474869972,8.39069162435862,0.0034751835460773
9.75883703068494,-1.7652946791238,+,,1.62945559384773,,+,+,1.83365672296173,+,,0.0530084372069631,+,-1.42641221330848,-1.0592727396152,18,-1347.01537756727,2733.3673405004,8.46328342503466,0.00335131027522265
9.14009433038457,-1.76532090418273,+,0.0964021819955567,1.48433284032469,-0.130859542360575,+,,1.57346708570644,,,,+,-1.42644756469347,-1.05927111137791,15,-1350.75133543207,2733.81036317183,8.90630609647178,0.00268542784216712
9.17408117008406,-1.76533164434911,+,0.117927204826834,1.53401944087223,-0.0386051163606425,+,,1.66136282773964,,,0.277215321965244,+,-1.42647001753079,-1.05929632310448,16,-1349.63824653225,2733.90451238817,9.00045531280603,0.00256194171244397
9.13016580528932,-1.76533582811123,+,0.130050466609838,1.53721176790403,,+,,1.66051968389365,,0.0214162096151318,0.286611532366594,+,-1.42645776184443,-1.05928437061223,16,-1349.65009491322,2733.92820915012,9.02415207475588,0.0025317659708561
