Location ID,Date
P8-R,2011-05-03
D16-L,2011-07-12
D41-C,2011-08-08
D41A-C,2011-08-08
D7-C,2011-08-08
D24-L,2011-08-09
D16-L,2011-08-09
D28A-L,2011-08-09
C9-L,2011-08-09
P8-R,2011-08-09
D4-L,2011-09-08
D24-L,2011-10-03
D28A-L,2011-10-04
C9-L,2011-10-04
D28A-L,2011-11-09
C9-L,2011-11-09
P8-R,2011-11-09
D41A-C,2011-12-07
D41-C,2011-12-07
D6-R,2011-12-07
D24-L,2011-12-08
D16-L,2011-12-08
D28A-L,2011-12-08
C9-L,2011-12-08
P8-R,2011-12-08
D24-L,2012-03-07
D4-L,2012-04-06
D24-L,2012-04-06
D16-L,2012-04-06
D28A-L,2012-04-06
C9-L,2012-04-06
P8-R,2012-04-06
D41A-C,2012-05-21
D41-C,2012-05-21
D6-R,2012-05-21
D7-C,2012-05-21
D4-L,2012-05-21
D41-C,2012-08-25
D41A-C,2012-10-22
D41-C,2012-10-22
D6-R,2012-10-22
D7-C,2012-10-22
D4-L,2012-10-22
D24-L,2012-10-22
D16-L,2012-10-23
D28A-L,2012-10-23
C9-L,2012-10-23
P8-R,2012-10-23
D24-L,2012-05-22
D28A-L,2012-05-22
C9-L,2012-05-22
D41A-C,2012-06-19
D41-C,2012-06-19
D7-C,2012-06-19
D24-L,2012-06-20
D16-L,2012-06-20
D28A-L,2012-06-20
C9-L,2012-06-20
P8-R,2012-06-20
D41A-C,2012-07-17
D41-C,2012-07-17
D6-R,2012-07-17
D7-C,2012-07-17
D24-L,2012-07-18
D28A-L,2012-07-18
C9-L,2012-07-18
D28A-L,2016-02-09
D4-L,2014-08-05
D24-L,2014-08-05
D16-L,2014-08-05
D28A-L,2014-08-05
C9-L,2014-08-05
P8-R,2014-08-05
D6-R,2014-10-21
D7-C,2014-10-21
D4-L,2014-10-22
D24-L,2014-10-22
D41A-C,2014-12-04
D41-C,2014-12-04
D6-R,2014-12-04
D7-C,2014-12-04
D4-L,2014-12-03
D24-L,2014-12-03
D16-L,2014-12-03
D28A-L,2014-12-03
P8-R,2014-12-03
D4-L,2016-05-18
D7-C,2017-02-22
