Station Name,Station Number,Sample Date,Sample Code,Sample Depth,Sample Description,Sample Type,Parent Sample Code,Total Alkalinity mg/L as CaCO3 Std Method 2320 B 916 [1]*,Dissolved Ammonia mg/L as N EPA 350.1 (D) 925 [1]*,Dissolved Bromide mg/L EPA 300.0 356 [1]*,Dissolved Calcium mg/L EPA 200.7 (D) 130 [1]*,Dissolved Chloride mg/L EPA 300.0 356 [1]*,Chlorophyll a ug/L Std Method 10200 H 274 [1]*,Specific Conductance µmhos/cm@25°C Std Method 2510-B 917 [1]*,Dissolved Nitrate + Nitrite mg/L as N Std Method 4500-NO3-F 923 [1]*,Dissolved Organic Carbon mg/L as C Std Method 5310C (D) 920 [1]*,Total Organic Carbon mg/L as C Std Method 5310C (T) 919 [1]*,Dissolved Organic Nitrogen mg/L as N EPA 351.2/EPA 350.1 (D) 929 [1]*,Pheophytin a ug/L Std Method 10200 H 274 [1]*,Total Phosphorus mg/L as P EPA 365.4 928 [1]*,Dissolved Silica (SiO2) mg/L EPA 200.7 (D) 130 [1]*,Total Dissolved Solids mg/L Std Method 2540 C 203 [1]*,Total Suspended Solids mg/L Std Method 2540 D 918 [1]*,Volatile Suspended Solids mg/L Std Method 2540 E 317 [1]*,Total Kjeldahl Nitrogen mg/L as N EPA 351.2 927 [1]*,Dissolved ortho-Phosphate mg/L as P EPA 365.1 924 [1]*,pH pH Units Std Method 2320 B 916 [1]*,"(Bottom) Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","(Bottom) Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*",Chlorophyll Volume mL Chlorophyll Volume Filtered - [1]*,(Bottom) Specific Conductance µmhos/cm@25°C EPA 120.1 (Field) - [1]*,Specific Conductance µmhos/cm@25°C EPA 120.1 (Field) - [1]*,Field Notes Notes (Field) - [1]*,Microcystis aeruginosa Field Observations (Water) - [1]*,(Bottom) Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,(Bottom) Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Secchi Depth Centimeters Secchi Depth - [1]*,(Bottom) Water Temperature °C EPA 170.1 (Field) - [1]*,"Air Temperature °F Temperature, Air - [1]*",Water Temperature °C EPA 170.1 (Field) - [1]*,(Bottom) Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Water Depth at Station Feet Depth of Water Column - [1]*,Weather Observations Weather Observations - [1]*,Wind Velocity Miles/hr Wind Velocity - [1]*,(Bottom) pH pH Units EPA 150.1 (Field) - [1]*,pH pH Units EPA 150.1 (Field) - [1]*
D19 - Frank's Tract near Russo's Landing,B9D80261369,8/8/2023 11:30,E0823B1765,3 Feet,NA,Normal Sample,0,46.5,<0.05,0.127,"9.77,9.84**",37,1.52,242,0.059,"2.6,2.7**","2.3,2.5**",0.16,0.54,0.06,"12.9,13**",138,3.1,<2.5,0.209,0.061,N/A,0.4,1.81,0.39,1.78,500,266,246,500,2,93.5,7.85,98.5,8.17,180,24.1,73.2,24.72,3.9,2.9,32.5,"Sunny, No waves, flat, No rain",5.3,7.66,7.78
D19 - Frank's Tract near Russo's Landing,B9D80261369,9/5/2023 11:00,E0923B2134,3 Feet,NA,Normal Sample,0,56,<0.05,0.155,11.5,48.4,1.65,298,0.078,2.7,2.6,0.11,0.61,"0.059,0.062**",15.4,167,3.2,<2.5,"0.15,0.162**",0.065,N/A,0.51,2.09,0.5,2.04,500,326,305,No zooplankton tow.,3,93.8,8.06,99.8,8.54,152,22.84,70.2,23.09,3,2.7,35.4,"Sunny, No waves, flat, No rain.",1.2,7.75,7.84
D19 - Frank's Tract near Russo's Landing,B9D80261369,10/3/2023 9:10,E1023B2498,3 Feet,NA,Normal Sample,0,"60.9,61.3**",<0.05,0.156,10.6,45.1,1.49,"306,306**",0.088,2.2,2.1,0.14,0.59,0.048,14.2,173,5.5,<2.5,0.19,0.059,7.93,0.4,1.75,0.34,1.49,500,324,326,No tow conducted. Data are no tow surface and no tow bottom.,2,92.5,8.45,93.9,8.57,164,19.67,63.1,19.74,2.4,2.7,16.7,"sunny, no waves, flat, no rain",7.5,7.72,7.79
D19 - Frank's Tract near Russo's Landing,B9D80261369,11/3/2023 11:05,E1123B2723,3 Feet,NA,Normal Sample,0,53.3,"<0.05,<0.05**",<0.1,"10.4,10.5**",23.9,2.38,203,"0.157,0.158**",2.6,2.6,0.14,0.59,"0.057,0.061**","14.8,15**",122,4.1,<2.5,"0.13,0.177**","0.065,0.067**",N/A,0.56,2.27,0.48,1.95,500,196,196,N/A,2,93.3,9.04,93,9.03,172,16.82,64.2,16.78,2.4,2.3,8.9,"Sunny, no waves/flat, no rain",3.5,7.62,7.7
D22 - Sacramento River @ Emmaton,B9D80511443,4/14/2023 11:15,E0423B0829,3 Feet,NA,Normal Sample,0,75.4,<0.05,N/A,14.7,7.4,4.3,200,0.215,2.5,2.9,0.12,1.27,"0.048,0.049**",15.5,122,11.4,<2.5,"0.188,0.2**",<0.05,N/A,0.66,2.66,0.73,2.93,500,179,181,N/A,1,97.1,9.99,97.4,10.02,59,14.07,55.2,14.06,11,10.6,33.5,"sunny; ripples to small waves, no white caps; no rain",11.6,7.84,7.81
D22 - Sacramento River @ Emmaton,B9D80511443,5/15/2023 13:10,E0523B1065,3 Feet,NA,Normal Sample,0,51.4,<0.05,N/A,9.69,4.1,3.66,130,0.171,2.4,2.1,0.12,0.78,0.035,15.2,85,10,<2.5,0.16,<0.05,N/A,1,3.88,0.74,2.86,500,125,129,N/A,1,100.8,9.73,105.2,10.09,56,17.03,66.9,17.37,6.6,7.4,28.9,"sunny; moderate waves, few white caps; no rain",18.2,7.92,8.11
D22 - Sacramento River @ Emmaton,B9D80511443,6/12/2023 11:50,E0623B1281,3 Feet,NA,Normal Sample,0,43.3,<0.05,N/A,8.22,3.52,1.89,109,0.125,2,1.9,0.17,0.51,0.037,13.9,68,7.8,<2.5,0.183,<0.05,N/A,0.41,1.87,0.29,1.35,500,112,113,N/A,1,99.2,9.49,100.8,9.6,105,17.5,62.2,17.68,5.2,5.9,29.5,"Partly cloudy, Ripples to small waves, no white caps, No rain",16.2,7.66,7.79
D22 - Sacramento River @ Emmaton,B9D80511443,7/12/2023 12:50,E0723B1594,3 Feet,NA,Normal Sample,0,50.2,<0.05,N/A,10.1,13.2,2.89,161,0.121,1.9,1.9,0.12,1.36,0.037,14.3,96,16.9,2.5,0.203,0.053,N/A,0.67,2.92,0.56,2.43,500,163,169,N/A,1,95.4,8.45,95.1,8.38,44,21.32,75.9,21.62,13.7,11,32.5,"Sunny, Moderate waves, few white caps, No rain",19.6,7.79,7.77
D22 - Sacramento River @ Emmaton,B9D80511443,8/10/2023 13:30,E0823B1908,3 Feet,NA,Normal Sample,0,49.2,<0.05,N/A,10.8,71.5,3.94,380,0.095,2.2,2.1,<0.1,0.8,0.046,13.2,"217,217**",12.7,<2.5,0.174,<0.05,N/A,0.56,2.24,0.63,2.54,500,507,377,N/A,1,95.3,8.27,99.4,8.5,60,22.32,76.3,23.09,12.5,8.9,32.8,"Sunny, ripples to small waves, no whitecaps, no rain",6.2,7.49,7.83
D22 - Sacramento River @ Emmaton,B9D80511443,9/7/2023 12:55,E0923B2235,3 Feet,NA,Normal Sample,0,"61.5,61.5**","<0.05,<0.05**",N/A,11.3,29.5,2.63,"241,241**","0.142,0.142**",2.2,2.1,0.23,<0.5,0.055,16.4,139,"10.5,10.7**","<2.5,<2.5**",0.236,"0.06,0.06**",7.86,0.64,2.59,0.64,2.61,500,289,241,N/A,1,93.5,8.32,97.4,8.56,66,21.04,74.3,21.72,7.7,7.1,33.5,"Sunny, moderate waves with few white caps, no rain",12.5,7.59,7.75
