"","StationCode","DateTime","Study","Secchi","WTSurface","DOSurface","SpCndSurface","pHSurface","Microcystis","TurbiditySurface_FNU"
"26","C3A",2020-10-06 08:45:00,"EMP",NA,19.63,8.41,142,7.28,1,2.7
"27","C10A",2020-10-06 12:30:00,"EMP",NA,22.13,9.41,578,7.83,1,10.2
"28","D28A",2020-10-07 12:30:00,"EMP",240,22.8,8.14,639,7.94,3,2
"29","D16",2020-10-07 10:55:00,"EMP",184,21.93,8.04,965,7.78,3,3.1
"30","D12",2020-10-07 09:10:00,"EMP",96,21.04,8.18,6840,7.76,3,7.6
"31","D19",2020-10-07 11:50:00,"EMP",332,22.12,9.14,903,8.07,3,2
"32","MD10A",2020-10-08 10:30:00,"EMP",224,22.14,7.21,211,7.47,2,1.9
"33","D26",2020-10-08 09:15:00,"EMP",160,21.41,7.9,386,7.75,2,4.7
"34","P8",2020-10-08 11:50:00,"EMP",180,23.31,6.79,513,7.46,2,3.3
"35","NZ068",2020-10-09 13:45:00,"EMP",186,21.05,8.34,351,7.82,2,3.1
"36","D22",2020-10-09 11:55:00,"EMP",60,20.7,8.52,3077,7.95,2,8.4
"37","D4",2020-10-09 10:25:00,"EMP",132,20.11,8.31,9128,7.87,2,5.3
"38","D8",2020-10-12 13:25:00,"EMP",116,19.92,8.36,17022,8.07,3,5.9
"39","D10",2020-10-12 14:05:00,"EMP",92,20.44,8.43,13503,8.04,3,5.9
"40","D6",2020-10-12 12:20:00,"EMP",120,19.78,7.75,29339,7.98,1,5.5
"41","NZS42",2020-10-13 13:10:00,"EMP",64,20.46,7.06,14744,7.63,1,12.6
"42","D7",2020-10-13 12:15:00,"EMP",84,20.08,7.97,21419,7.97,1,8.9
"43","NZ032",2020-10-13 14:05:00,"EMP",64,22.22,7.84,14535,7.75,1,8.9
"44","D41",2020-10-14 10:35:00,"EMP",116,18.41,6.88,44484,7.93,1,8.7
"45","D41A",2020-10-14 09:50:00,"EMP",76,19.78,7.63,38845,8.01,1,10.4
"46","NZ004",2020-10-14 11:45:00,"EMP",120,19.78,7.52,32099,7.99,1,8.2
"47","NZ002",2020-10-14 11:30:00,"EMP",84,19.38,7.24,37867,7.98,1,11.6
"48","NZ325",2020-10-14 11:10:00,"EMP",116,19.83,7.42,37318,8.01,1,5.1
"49","C3A",2020-11-04 09:15:00,"EMP",NA,14.97,9.58,147,7.34,1,2.2
"50","C9",2020-11-04 11:00:00,"EMP",NA,16.59,8.63,543,7.42,2,2.7
"51","C10A",2020-11-04 12:15:00,"EMP",NA,14.87,9.56,451,7.54,1,6
"52","D12",2020-11-05 08:40:00,"EMP",104,16.69,8.75,5919,7.56,2,7.1
"53","D16",2020-11-05 10:40:00,"EMP",176,17.89,8.98,1594,7.7,2,3.5
"54","D19",2020-11-05 11:35:00,"EMP",296,17.27,9.33,957,7.8,2,2
"55","D28A",2020-11-05 12:10:00,"EMP",302,17.08,8.57,683,7.55,2,1.5
"56","D26",2020-11-06 09:00:00,"EMP",152,16.52,8.95,449,7.66,2,4.5
"57","MD10A",2020-11-06 10:15:00,"EMP",376,16.4,9.24,309,7.68,2,1.4
"58","P8",2020-11-06 11:25:00,"EMP",264,15.67,9.24,390,7.53,1,2.1
"59","D4",2020-11-09 11:15:00,"EMP",68,15.09,8.97,9109,7.79,2,10.8
"60","D22",2020-11-09 12:30:00,"EMP",40,14.88,8.95,4988,7.75,2,24.3
"61","NZ068",2020-11-09 13:50:00,"EMP",128,14.46,9.29,605,7.67,2,5.7
