"","StationCode","DateTime","Study","Secchi","WTSurface","DOSurface","SpCndSurface","pHSurface","Microcystis","TurbiditySurface_FNU"
"288","SHR",2021-09-28 08:10:00,"AEU",300,20.1,8.62,137,7.96,1,3.3
"289","C3A",2021-10-11 09:15:00,"EMP",NA,17.09,9.17,156,7.73,1,2.3
"290","C9",2021-10-11 11:10:00,"EMP",NA,18.98,8.16,620,7.81,2,4.3
"291","C10A",2021-10-11 12:30:00,"EMP",NA,16.12,9.33,364,7.82,1,5.6
"292","LIS",2021-10-11 09:34:00,"AEU",31,16.7,8.58,235,8.04,1,22.6
"293","STTD",2021-10-13 11:07:00,"AEU",64,14,9.42,2248,8.15,1,12.2
"294","SHR",2021-10-13 08:24:00,"AEU",279,15.3,9.45,134,7.99,1,8.4
"295","D26",2021-10-13 11:20:00,"EMP",120,17.31,8.9,757,7.99,1,5.9
"296","MD10A",2021-10-13 12:55:00,"EMP",260,16.87,8.59,415,7.86,2,1.5
"297","P8",2021-10-13 14:25:00,"EMP",164,19.61,8.16,800,7.75,2,3
"298","D12",2021-10-14 12:25:00,"EMP",52,16.92,8.63,8590,7.78,2,9.9
"299","D16",2021-10-14 14:20:00,"EMP",88,17.2,8.94,2333,8.01,2,7
"300","D19",2021-10-14 16:25:00,"EMP",190,17.12,9.53,1102,8.32,2,2.4
"301","D28A",2021-10-14 17:05:00,"EMP",180,16.97,8.76,788,8.05,1,2.7
"302","D6",2021-10-15 11:00:00,"EMP",56,17.06,8.13,30702,7.74,1,10.8
"303","D8",2021-10-15 11:55:00,"EMP",80,16.85,8.77,20280,7.88,1,7.8
"304","D10",2021-10-15 12:35:00,"EMP",64,17.09,8.77,16890,7.86,1,10.7
"305","D7",2021-10-18 12:30:00,"EMP",44,16.75,8.36,25278,7.7,1,17.8
"306","NZS42",2021-10-18 13:25:00,"EMP",20,16.32,7.98,15970,7.63,1,30.5
"307","NZ032",2021-10-18 14:30:00,"EMP",44,16.44,8.24,17090,7.66,1,12.1
"308","SHR",2021-10-18 08:23:00,"AEU",430,15.5,9.6,136,7.98,1,3.8
"309","D41A",2021-10-19 11:00:00,"EMP",40,16.32,7.37,42576,7.71,1,15.7
"310","D41",2021-10-19 11:35:00,"EMP",40,16.05,7.09,46189,7.79,1,17.7
"311","NZ325",2021-10-19 12:15:00,"EMP",36,16.72,7.31,40201,7.85,1,19.8
"312","NZ002",2021-10-19 12:35:00,"EMP",24,16.46,7.37,39437,7.85,1,26.9
"313","NZ004",2021-10-19 13:00:00,"EMP",68,16.68,7.62,36244,7.84,1,10.7
"314","STTD",2021-10-19 08:13:00,"AEU",100,16.3,9.73,197,7.71,1,8.6
"315","LIS",2021-10-19 11:12:00,"AEU",38,15.8,8.68,240,7.96,1,18.8
"316","D4",2021-10-22 06:30:00,"EMP",68,16.58,8.24,12422,7.73,1,8.3
"317","D22",2021-10-22 07:10:00,"EMP",40,16.54,8.46,7557,7.85,1,12.1
"318","NZ068",2021-10-22 08:45:00,"EMP",64,16.53,9.11,1545,7.96,2,10.8
"319","SHR",2021-11-01 08:31:00,"AEU",85,16,7.82,194,7.23,1,11.9
"320","STTD",2021-11-02 08:53:00,"AEU",52,16.5,1.11,454,7.17,1,17.8
"321","LIS",2021-11-02 12:38:00,"AEU",78,17,4.94,458,7.26,1,14.1
"322","D19",2021-11-09 12:00:00,"EMP",60,15.55,8.38,649,7.66,1,7.9
"323","C3A",2021-11-08 08:15:00,"EMP",NA,15.74,8.22,206,7.42,1,4.7
"324","C9",2021-11-08 10:00:00,"EMP",NA,16.15,7.31,534,7.28,1,5.1
"325","C10A",2021-11-08 11:15:00,"EMP",NA,14.45,8.98,510,7.61,1,3.8
"326","D12",2021-11-09 08:50:00,"EMP",28,15.5,7.97,3554,7.42,1,27.2
"327","D16",2021-11-09 10:40:00,"EMP",68,15.78,8.09,689,7.59,1,9.3
"328","D28A",2021-11-09 12:45:00,"EMP",104,15.54,7.97,545,7.55,2,4.2
"329","D26",2021-11-10 09:20:00,"EMP",80,15.69,8.19,441,7.67,2,9
"330","MD10A",2021-11-10 10:45:00,"EMP",116,15.34,7.26,352,7.56,1,3.4
"331","P8",2021-11-10 12:10:00,"EMP",96,16.37,8.06,431,7.62,1,4.5
"332","D4",2021-11-12 11:50:00,"EMP",44,15.86,7.92,6012,7.45,1,16.9
"333","D22",2021-11-12 13:15:00,"EMP",36,15.74,8.27,2574,7.55,1,24.8
"334","NZ068",2021-11-12 14:40:00,"EMP",80,15.75,8.39,362,7.76,1,8.6
"335","D6",2021-11-15 12:15:00,"EMP",64,15.39,8.13,27988,7.56,1,9.8
"336","D8",2021-11-15 13:15:00,"EMP",56,15.22,8.62,15216,7.66,1,14.1
"337","D10",2021-11-15 14:00:00,"EMP",40,15.39,8.74,12206,7.61,1,19
"338","SHR",2021-11-15 10:05:00,"AEU",80,13.7,8.98,183,7.42,1,12.9
"339","D7",2021-11-16 11:35:00,"EMP",28,15.3,8.16,18945,7.51,1,40.2
"340","NZS42",2021-11-16 12:35:00,"EMP",16,15.11,7.25,11915,7.41,1,51.1
"341","NZ032",2021-11-16 13:15:00,"EMP",28,15.33,7.91,13074,7.48,1,22.8
"342","STTD",2021-11-16 09:48:00,"AEU",72,14.5,1.14,541,7.34,1,5.2
"343","LIS",2021-11-16 12:58:00,"AEU",44,14.4,3.37,509,7.5,1,11.7
"344","STTD",2021-11-16 09:48:00,"AEU",72,14.5,1.14,541,7.34,1,5.2
"345","D41A",2021-11-17 10:55:00,"EMP",60,15.16,7.62,36707,7.65,1,10.9
"346","D41",2021-11-17 12:30:00,"EMP",140,15.19,7.79,43176,7.85,1,4.3
"347","NZ325",2021-11-17 13:25:00,"EMP",56,15.16,7.85,37884,7.83,1,11.5
"348","NZ002",2021-11-17 13:45:00,"EMP",84,15.53,7.9,33384,7.81,1,6.4
"349","NZ004",2021-11-17 14:15:00,"EMP",80,15.46,7.88,31554,7.79,1,7.2
"350","SHR",2021-11-29 09:19:00,"AEU",105,11.7,10.24,190,7.56,1,5.5
"351","STTD",2021-11-30 09:30:00,"AEU",89,12.1,7.74,429,7.69,1,9.7
"352","LIS",2021-11-30 12:35:00,"AEU",45,12.9,3.86,705,7.5,1,19.2
"353","C3A",2021-12-08 08:45:00,"EMP",NA,12.15,9.6,205,7.64,1,3.8
"354","C9",2021-12-08 10:30:00,"EMP",NA,12.46,8.49,547,7.57,1,3.3
"355","C10A",2021-12-08 12:00:00,"EMP",NA,11.84,10.08,599,7.78,1,2.9
"356","D12",2021-12-09 09:30:00,"EMP",44,12.87,8.91,8080,7.52,1,15.3
"357","D16",2021-12-09 11:25:00,"EMP",68,12.69,9.1,2110,7.72,1,9.3
"358","D19",2021-12-09 12:45:00,"EMP",84,12.51,9.05,849,7.79,1,5.4
"359","D28A",2021-12-09 13:25:00,"EMP",140,12.59,8.62,590,7.61,1,2.9
"360","D26",2021-12-10 10:00:00,"EMP",100,12.16,9.42,658,7.88,1,6.4
"361","MD10A",2021-12-10 11:30:00,"EMP",210,11.6,9.22,424,7.86,1,2.5
"362","P8",2021-12-10 12:55:00,"EMP",96,12.81,8.6,752,7.76,2,3.6
"363","D4",2021-12-13 11:50:00,"EMP",28,12.25,9,16490,7.63,1,19.6
"364","D22",2021-12-13 12:40:00,"EMP",40,12.03,9.47,8545,7.75,1,23.8
"365","NZ068",2021-12-13 13:55:00,"EMP",40,11.76,9.74,3144,7.82,1,16.7
"366","SHR",2021-12-13 09:21:00,"AEU",130,10.1,10.71,197,7.76,1,9.5
"367","D6",2021-12-14 11:30:00,"EMP",56,12.33,8.53,30955,7.64,1,12
"368","D8",2021-12-14 12:20:00,"EMP",52,11.93,9.06,20989,7.77,1,19.5
"369","D10",2021-12-14 13:00:00,"EMP",40,11.95,9.3,17363,7.78,1,25.1
"370","STTD",2021-12-14 10:25:00,"AEU",38,9.8,8.6,550,7.73,NA,20.4
"371","LIS",2021-12-14 15:26:00,"AEU",11,10.2,7.82,285,7.6,1,126.9
"372","D7",2021-12-15 11:05:00,"EMP",36,11.52,9.17,20378,7.66,1,27.4
"373","NZS42",2021-12-15 12:00:00,"EMP",20,10.88,9.28,12366,7.62,1,50.4
"374","NZ032",2021-12-15 13:15:00,"EMP",40,10.86,9.39,12971,7.63,1,22.8
"375","D41A",2021-12-16 09:35:00,"EMP",60,11.1,9,35586,7.75,1,15.6
"376","D41",2021-12-16 11:00:00,"EMP",100,11.96,8.79,39875,7.83,1,6.4
"377","NZ325",2021-12-16 11:50:00,"EMP",84,12.25,9.05,31904,7.82,1,6.8
"378","NZ002",2021-12-16 12:10:00,"EMP",44,11.92,8.97,32794,7.82,1,14.5
"379","NZ004",2021-12-16 12:30:00,"EMP",80,12.02,8.86,30319,7.84,1,8.2
"380","SHR",2021-12-27 10:18:00,"AEU",23,8.5,10.6,131,7.47,1,44.1
"381","STTD",2021-12-28 10:48:00,"AEU",14,8,8.84,500,7.59,1,75.7
"382","LIS",2021-12-28 14:47:00,"AEU",15,8.4,8.72,518,7.71,1,86.4
