region,date,n,n.cen,median,mean,sd,analyte
Central Delta,Jan 2019,4,0,10.699999999999989,11.049999999999997,4.431327867204897,TurbiditySurface
Central Delta,Jan 2020,4,0,4.699999999999989,4.975000000000001,0.5560275772537502,TurbiditySurface
Central Delta,Jul 2019,4,0,NA,3.325000000000003,1.456880228433345,TurbiditySurface
Central Delta,Jul 2020,4,0,2.5,3.1500000000000057,1.109053650640946,TurbiditySurface
Central Delta,Jun 2019,4,0,4.199999999999989,4.225000000000001,0.5439056290693621,TurbiditySurface
Central Delta,Jun 2020,4,0,2.9000000000000057,3.549999999999997,0.8544003745317444,TurbiditySurface
Central Delta,Mar 2019,4,0,13.599999999999994,14.725000000000001,8.307978093375064,TurbiditySurface
Central Delta,Mar 2020,4,0,3.4000000000000057,4.750000000000007,4.985646063116258,TurbiditySurface
Central Delta,May 2019,4,0,2.4000000000000057,2.7749999999999986,0.6238322424070893,TurbiditySurface
Central Delta,Nov 2019,4,0,3.4000000000000057,3.6750000000000043,0.6448514040717694,TurbiditySurface
Central Delta,Nov 2020,4,0,2,2.875,1.3768926368215255,TurbiditySurface
Central Delta,Oct 2019,4,0,2.3000000000000114,2.7250000000000014,0.7932002689527109,TurbiditySurface
Central Delta,Oct 2020,4,0,2,2.9499999999999957,1.2767145334803651,TurbiditySurface
Central Delta,Sep 2019,4,0,1.3000000000000114,2.8000000000000043,1.8938496948455739,TurbiditySurface
Central Delta,Sep 2020,4,0,3.1999999999999886,4.574999999999996,2.444551765320862,TurbiditySurface
Confluence,Apr 2019,4,0,9.400000000000006,13.350000000000001,8.27143679578504,TurbiditySurface
Confluence,Aug 2019,4,0,10.800000000000011,11.625,2.9915157807818167,TurbiditySurface
Confluence,Aug 2020,4,0,7.900000000000006,7.900000000000006,0.8286535263104022,TurbiditySurface
Confluence,Dec 2019,4,0,11.400000000000006,14.050000000000004,4.048456495999431,TurbiditySurface
Confluence,Dec 2020,1,0,NA,10.300000000000011,NA,TurbiditySurface
Confluence,Feb 2019,4,0,26.80000000000001,45.225,36.36567749953244,TurbiditySurface
Confluence,Feb 2020,4,0,22.099999999999994,23.575000000000003,11.033094156521402,TurbiditySurface
Confluence,Jan 2019,4,0,16.400000000000006,18.400000000000006,3.3075670817082474,TurbiditySurface
Confluence,Jan 2020,4,0,13.199999999999989,17.125,9.394812398339841,TurbiditySurface
Confluence,Jul 2019,4,0,10.599999999999994,14,5.238320341483521,TurbiditySurface
Confluence,Jul 2020,4,0,8.5,8.299999999999997,0.7527726527090872,TurbiditySurface
Confluence,Jun 2019,4,0,NA,6.400000000000006,1.2000000000000013,TurbiditySurface
Confluence,Jun 2020,4,0,12.199999999999989,14.424999999999997,4.900595201945717,TurbiditySurface
Confluence,Mar 2019,4,0,37.19999999999999,42.199999999999996,14.104136509076579,TurbiditySurface
Confluence,Mar 2020,4,0,10.099999999999994,12,5.669803053604827,TurbiditySurface
Confluence,May 2019,4,0,7.699999999999989,11.874999999999993,6.5946316551166655,TurbiditySurface
Confluence,Nov 2019,4,0,13.599999999999994,18.199999999999996,7.992913528036367,TurbiditySurface
Confluence,Nov 2020,4,0,10.800000000000011,14.200000000000003,7.39684617477837,TurbiditySurface
Confluence,Oct 2019,4,0,10.599999999999994,12.024999999999999,6.157042038728231,TurbiditySurface
Confluence,Oct 2020,4,0,5.900000000000006,6.800000000000004,1.4445299120013593,TurbiditySurface
Confluence,Sep 2019,4,0,13.699999999999989,17.39999999999999,11.031167964756344,TurbiditySurface
Confluence,Sep 2020,4,0,6.699999999999989,9.475000000000001,5.635822921277786,TurbiditySurface
Northern Interior Bay,Apr 2019,2,0,NA,20.060000000000002,5.430580079512691,TurbiditySurface
Northern Interior Bay,Aug 2019,2,0,NA,4.739999999999995,0.9050966799187817,TurbiditySurface
Northern Interior Bay,Aug 2020,2,0,NA,2.75,0.07071067811867084,TurbiditySurface
Northern Interior Bay,Dec 2019,2,0,NA,5.724999999999994,0.3181980515339384,TurbiditySurface
Northern Interior Bay,Dec 2020,1,0,NA,2.9000000000000057,NA,TurbiditySurface
Northern Interior Bay,Feb 2019,2,0,NA,55.955000000000005,43.352716754547224,TurbiditySurface
Northern Interior Bay,Feb 2020,2,0,NA,6.849999999999994,2.616295090390218,TurbiditySurface
Northern Interior Bay,Jan 2019,2,0,NA,55.599999999999994,7.0710678118654755,TurbiditySurface
Northern Interior Bay,Jan 2020,2,0,NA,5.75,1.7677669529663689,TurbiditySurface
Northern Interior Bay,Jul 2019,2,0,NA,4.905000000000001,1.5627059864222557,TurbiditySurface
Northern Interior Bay,Jul 2020,2,0,NA,4,1.9798989873223412,TurbiditySurface
Northern Interior Bay,Jun 2019,2,0,NA,9.225000000000009,2.5809397513309027,TurbiditySurface
Northern Interior Bay,Jun 2020,2,0,NA,3.549999999999997,0.6363961030678968,TurbiditySurface
Northern Interior Bay,Mar 2019,2,0,NA,44.30500000000001,4.518412331782029,TurbiditySurface
Northern Interior Bay,Mar 2020,2,0,NA,3,2.121320343559643,TurbiditySurface
Northern Interior Bay,May 2019,2,0,NA,6.634999999999991,6.27203714912468,TurbiditySurface
Northern Interior Bay,Nov 2019,2,0,NA,3.115000000000009,0.3040559159102203,TurbiditySurface
Northern Interior Bay,Nov 2020,2,0,NA,3.9499999999999886,2.4748737341529163,TurbiditySurface
Northern Interior Bay,Oct 2019,2,0,NA,2.9749999999999943,1.0960155108391567,TurbiditySurface
Northern Interior Bay,Oct 2020,2,0,NA,2.8999999999999915,0.28284271247462306,TurbiditySurface
