CalDate,PostCalDate,ExpectedVal,CalVal,PostCalVal,Program,Station,Sonde,PostCalCentered,residuals,stdresid
6/12/2024,7/17/2024,124,124.13,114.12,NCRO_low,NA,XO2-40,-9.879999999999995,-0.2867924528301825,-0.08387330408611424
6/11/2024,8/12/2024,124,124.41,113.35,NCRO_low,NA,XO2-44,-10.650000000000006,-1.0567924528301929,-0.3090620895962749
6/11/2024,7/17/2024,124,124.49,113.16,NCRO_low,NA,XO-42,-10.840000000000003,-1.2467924528301906,-0.3646281535533261
6/12/2024,7/16/2024,124,123.69,113.1,NCRO_low,NA,XO2-25,-10.900000000000006,-1.3067924528301929,-0.38217533164502737
7/17/2024,8/12/2024,124,113.16,112.94,NCRO_low,NA,XO2-42,-11.060000000000002,-1.4667924528301894,-0.42896780655622796
6/11/2024,7/17/2024,124,123,116.19,NCRO_low,NA,XO2-17,-7.810000000000002,1.783207547169811,0.5215043400775543
6/12/2024,7/16/2024,124,124.34,114.14,NCRO_low,NA,XO2-13,-9.86,-0.2667924528301865,-0.07802424472221521
8/12/2024,8/12/2024,124,124.11,116.51,NCRO_low,NA,XO2-17,-7.489999999999995,2.1032075471698186,0.6150892898999597
8/7/2024,7/10/2024,124,124.48,116.99,NCRO_low,NA,XO2-76,-7.010000000000005,2.5832075471698084,0.7554667146335615
7/9/2024,8/7/2024,124,113.92,124.48,NCRO_high,NA,XO2-64,0.480000000000004,-2.4080952380952354,-0.7148058184458469
8/6/2024,9/4/2024,124,121.89,116.6,NCRO_low,NA,XO2-87,-7.400000000000006,2.193207547169808,0.6414100570375075
7/9/2024,8/7/2024,124,113.06,123.31,NCRO_high,NA,XO2-09,-0.6899999999999977,-3.578095238095237,-1.0621022186676088
8/6/2024,9/4/2024,124,126.48,116.22,NCRO_low,NA,XO2-02,-7.780000000000001,1.8132075471698121,0.530277929123405
9/3/2024,10/3/2024,124,128.95,116.91,NCRO_low,NA,XO2-62,-7.090000000000003,2.50320754716981,0.7320704771779613
6/3/2024,7/10/2024,124,122.36,116.85,NCRO_low,NA,XO2-86,-7.150000000000006,2.443207547169808,0.71452329908626
8/6/2024,9/4/2024,124,135.58,115.44,NCRO_low,NA,XO2-07,-8.560000000000002,1.0332075471698106,0.3021646139312968
